Field,Value
Recipe Name,Lobster Cream
Implemented,feb 10 2024
Created,feb 10 2024
Shelf Life,5 days
Stations,Pasta
Prep Time,~3-5 hours
Dishes,"Lobster Mac, Lobster Mash"
Description,
Equipment,"Tilt Skillet, Immersion Blender (Large), scale"
Kitchen Tools,"Knife, spatula, cambro containers"
Allergies,"Allium (Onion, Garlic), Nightshade, Shellfish/Lobster/Crustaceans, Dairy, Soy, Fin Fish"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),44
Recipe Yield (Batch x2),88
Recipe Yield (Batch x3),132
Recipe Yield (Batch x4),176
=== Ingredients ===,
Lobster Stock,"Unit: qt, Batch x1: 66, Batch x2: 132, Batch x3: 198, Batch x4: 264, Prep/Brand: prepped"
"Onion, spanish white","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: "
Tomato Paste,"Unit: gr, Batch x1: 3000, Batch x2: 6000, Batch x3: 9000, Batch x4: 12000, Prep/Brand: Heinz"
Toasted Garlic,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: prepped"
"Cream, Heavy Whipping (20 qt)","Unit: gr, Batch x1: 18920, Batch x2: 37840, Batch x3: 56760, Batch x4: 75680, Prep/Brand: Grand Reserve"
"Butter, Unsalted (20 lbs)","Unit: gr, Batch x1: 9080, Batch x2: 18160, Batch x3: 27240, Batch x4: 36320, Prep/Brand: Silver Cow"
Shiro Dashi,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Kikoman Shiro Dashi Soup Base"
=== Prep Steps ===,
Step 1,Reduce Lobster Stock by 50% (33 qts should remain)
Step 2,"Once reduced, add onion, tomato paste, and toasted garlic."
Step 3,"If reheating stock after previously reducing and cooling, allow to come to simmer with onion, tomato paste, and garlic first"
Step 4,"Using a large immersion blender, blend the ingredients in to cook more thoroughly"
Step 5,"With reduce stock simmering and added ingredients, add cream and reduce by half again, still at a constant simmer"
Step 6,"Turn heat off, cut butter into tabs and mount the butter while stiring"
Step 7,"Season with Shiro Dashi to taste, between 500 and 750 mL depending on intensity of the starting stock"
Step 8,"Using a large immersion blender, blend smooth and ensure no large particles left"
Step 9,"Reserve to 22 quart cambros, or appropriate containers, and cool in blast chiller or ice bath until cool.  Store in cooler."
Step 10,"***NOTE: Candian lobsters will be less salty/intense, and Maine Lobsters will be more salty/intense"
